id,cefr_level,name,summary,explanation,original,translation,dictionary_id,created_at,updated_at
8,A1.1-A1.2,I am ... (疑問文・否定文含む),「私は～です。」を表すI am ~.,"## I am ... の基本的な使い方

英語で「私は～です」と表したいとき、be動詞の現在形を使って「I am ~」と表します。be動詞には “am”, “is”, “are” の3種類がありますが、「I」に対しては常に “am” を使います。

### 肯定文
- 形：I am ~.
- 意味：「私は～です。」

例文:
- I am a teacher.  
  (私は先生です。)
- I am happy.  
  (私はうれしいです。)

#### 短縮形
会話やカジュアルな文章では “I’m ~.” と短縮するのが一般的です。  
例: I’m a student. (私は学生です。)

---

## 疑問文

be動詞の疑問文は、be動詞を先頭に置くだけで作ることができます。

### 疑問文の形
- Am I ~ ?

「私は～ですか？」と自分自身について尋ねる場合、以下のようになります。

例文:
- Am I late?  
  (私は遅れていますか？)
- Am I wrong?  
  (私は間違っていますか？)

答える際には、次のように “Yes” か “No” で始めます。

- Yes, you are. / No, you aren’t.

※「Am I ~?」で始まる疑問への答えは、相手が「Yes, you are.（はい、あなたは～です）」や「No, you aren’t.（いいえ、あなたは～ではありません）」と返事をする形が一般的です。

---

## 否定文

行為や状態を否定するときには、be動詞の後ろに “not” を加えます。

### 否定文の形
- I am not ~.

例文:
- I am not tired.  
  (私は疲れていません。)
- I am not a doctor.  
  (私は医者ではありません。)

#### 短縮形
否定文でも会話やカジュアルな文章では短縮形をよく使います。  
- I’m not ~.

例: I’m not hungry. (私はおなかがすいていません。)

---

## まとめ

1. **I am ~** を使って「私は～です」と表す。  
2. 疑問文は **Am I ~?** にして、「私は～ですか？」を尋ねる。  
3. 否定文は **I am not ~** にして、「私は～ではありません」と否定する。

be動詞は現在の状態や存在を表す基本的な動詞です。自分のことを述べるときは迷わず “am” を使えるようにしておきましょう。短縮形も覚えておくと、より自然な英語表現になります。",I am a student.,私は学生です。,1,2023-08-20 23:44:45 +0900,2025-01-26 18:51:33 +0900
34,A1.2,WH-疑問文: Why ...?,疑問詞whyから始まる疑問文,"以下では、**WH-疑問文（Why ...?）**について、より詳しく、わかりやすい説明を示します。

---

## WH-疑問文とは
英語の疑問文にはさまざまな形がありますが、その中でも**WH-疑問文**は「疑問詞（what, which, when, where, why, how など）」を文の先頭に置いて質問する形式です。疑問詞が示す内容（人、物、場所、時、理由など）を尋ねるときに使われます。

---

## Why の意味と役割
- **Why** は「なぜ」「どうして」といった意味を持ち、**理由**を尋ねるときに用いられます。  
- 会話や文章の中で相手の意思・行動の根拠や原因を聞きたい場合に、Why で始まる疑問文を使います。

---

## 疑問文の形
Why を使った疑問文は、基本的に以下の形で作られます。

> Why + 助動詞 (または be 動詞) + 主語 + 動詞の原形（または補語など）?

### 例文
1. **Why are you late?**  
   - 「なぜ遅刻したの？（なぜ遅れたの？）」  
   - be 動詞（are）が主語（you）の前に来ています。

2. **Why did he leave so early?**  
   - 「なぜ彼はそんなに早く出発したの？」  
   - 過去形を表す did が主語（he）の前にあり、leave は動詞の原形になっています。

3. **Why do they always study in the library?**  
   - 「なぜ彼らはいつも図書館で勉強するの？」  
   - 現在形では助動詞 do が主語の前に置かれています。

---

## 使い方のポイント
1. **理由を具体的に聞きたい場合に用いる**  
   - 「何かについて詳しい理由が知りたい」ときは Why ? を使って相手に問いかけます。  
   - たとえば、Why do you think so?（なぜそう思うのですか？）のように、意見や根拠の説明を求めるときによく使われます。

2. **答え方で because を用いる**  
   - Why で聞かれたら、答えでは **because**（なぜなら）を使って理由を説明することが一般的です。  
   - 例：  
     - Why are you so tired?（なぜそんなに疲れているの？）  
     - Because I stayed up late last night.（昨晩遅くまで起きていたからだよ。）

3. **文脈に応じた自然なやりとりを意識する**  
   - Why だけでなく、相手に失礼にならないよう工夫したり、「Could you tell me why...?」のように丁寧な表現を使ったりする場面もあります。

---

## まとめ

- **Why** は「なぜ」「どうして」といった意味の疑問詞で、相手の行動や物事が起こった理由を尋ねるときに用います。  
- 基本的な形は「Why + 助動詞（または be 動詞）+ 主語 + 動詞の原形...？」です。  
- 答えでは **because** を用いて理由を説明することがよくあります。

「Why」は相手の気持ちや背景を知るうえで重要な疑問文です。理由を詳しく聞きたいときに、ぜひ活用してみてください。",Why are you in such a hurry?,なぜそうあわてているの？,1,2023-08-20 23:44:45 +0900,2025-01-26 18:54:18 +0900
35,A1.2,WH-疑問文: When ...?,疑問詞whenで始まる疑問文,"以下では、**WH-疑問詞**のひとつである「**When**」の使い方について、なるべく詳しく解説します。

---

## 1. 「When」とは？
- 「When」は「いつ」を尋ねるための疑問詞です。
- 時間や時期を尋ねたいときに用いられます。
- 「いつまで？」「いつから？」「いつ頃？」など、幅広い意味で「いつ」を尋ねられます。

---

## 2. 基本的な疑問文の形
「When」を使った疑問文の基本形は、下記のようになります。

1. When + 助動詞 (do, did, will など) + 主語 + 動詞の原形 …?
2. When + be動詞 + 主語 …?

### 例文
1. When do you start work?  
   →「いつ仕事を始めますか？」

2. When did you arrive here?  
   →「いつここに着きましたか？」

3. When will the party begin?  
   →「パーティーはいつ始まりますか？」

4. When is the next train?  
   →「次の電車はいつですか？」

---

## 3. 現在形・過去形・未来形での使い方
「When」を使うときは、知りたい時制に合わせて助動詞や動詞を変化させます。

- **現在形（現在の習慣や事実を尋ねる場合）**  
  例：When do you usually get up?  
  （いつ普段起きますか？）

- **過去形（過去の出来事を尋ねる場合）**  
  例：When did you visit Kyoto?  
  （京都にはいつ行きましたか？）

- **未来形（これから起こる予定を尋ねる場合）**  
  例：When will you go on vacation?  
  （いつ休暇に行きますか？）

---

## 4. 追加の疑問表現
「When」を使った疑問文には、以下のように追加表現を付け足すことができます。

- **When exactly…?**  
  正確な時期を尋ねたいときに用いる  
  例：When exactly will you move to Tokyo?  
  （正確にはいつ東京に引っ越しますか？）

- **By when…?**  
  いつまでに、という期限を尋ねたいときに用いる  
  例：By when do you need this report?  
  （いつまでにこのレポートが必要ですか？）

- **From when…?**  
  いつから、という開始時期を尋ねたいときに用いる  
  例：From when can we start using the new system?  
  （新しいシステムはいつから使えますか？）

---

## 5. まとめ
- 「When」は「いつ」という時を尋ねる疑問詞です。  
- 文の形は「When + (助動詞/Be動詞) + 主語 + 動詞の原形/補語」と覚えておきましょう。  
- 時制や助動詞をうまく変化させることで、「現在」「過去」「未来」の出来事に対して質問できます。  
- 追加の表現を使えば、より正確に「いつから」「いつまで」などを尋ねられます。

「When」を上手に使えるようになると、予定の確認や過去の出来事の確認など、多くの場面で活用できるようになります。積極的に練習してみてください。",When will you arrive?,いつ到着しますか？,1,2023-08-20 23:44:45 +0900,2025-01-26 18:54:21 +0900
39,A1.2,Can I ...?,「可能性」と「許可」の疑問文,"## 「Can I ～ ?」の使い方

「Can I ～?」は、日常会話でよく使われる便利な表現です。主に以下の2つの意味や用法があります。

1. **「～することができますか？」という**可能**を尋ねる**  
   例）  
   - Can I exchange money here?  
     （ここで両替できますか？）  

   この場合、「両替」という行為がそこで可能かどうか（サービスや設備があるかなど）を尋ねる表現です。

2. **「～してもいいですか？」という**許可**を求める**  
   例）  
   - Can I open the window?  
     （窓を開けてもいいですか？）  

   この場合は、相手に対して「窓を開けることを許可してくれますか？」と尋ねています。

### 使い分けとニュアンス

- 「Can I ～?」は、日常会話で非常によく使われる**カジュアル**な表現です。友人同士や家族など、親しい間柄で気軽に使えます。  
- 目上の人やあまり親しくない人に対して使うときは、「Could I ～?」や「May I ～?」といった、より丁寧な表現を使うこともあります。

### 例文とバリエーション

- **Can I use your phone?**  
  （あなたの携帯電話を使ってもいいですか？／使えますか？）  
  → 許可を求めているニュアンスが強い。  

- **Can I park my car here?**  
  （ここに車を駐車できますか？）  
  → その場所に駐車可能かどうか、**可能性**を尋ねているニュアンス。  

- **Could I go home earlier today?**  
  （今日は早めに帰宅してもよろしいでしょうか？）  
  → 「Can I～?」より丁寧な表現。目上の人や職場などで使われることが多い。  

- **May I come in?**  
  （入ってもよろしいでしょうか？）  
  → さらに改まった丁寧な言い方。学校や仕事の場面で正式に許可を求めるときによく使われる。

### ポイント

- **相手との距離感**や**状況**によって、「Can I～?」「Could I～?」「May I～?」を選びましょう。  
- 「Can I～?」は**可能性**や**許可**のいずれにも使うことができるので、シンプルに「～できますか？」と尋ねたいとき、または「～してもいいですか？」とお願いするときによく使われます。  
- より**丁寧**にしたい場合は「Could I～?」や「May I～?」が、さらにカジュアルに短く聞きたい場合は「Can I～?」が適しています。  

上記を理解しておけば、「Can I～?」を使う場面で相手に誤解されることなくスムーズにコミュニケーションを取ることができるでしょう。",Can I eat this?,これを食べていいですか？,1,2023-08-20 23:44:45 +0900,2025-01-26 18:54:33 +0900
48,A1.2-A1.3,未来形,未外形はwillやbe going to~,"以下では、英語の「未来形」について、例文を交えながら詳しく、わかりやすく解説します。

---

## 1. 未来表現の代表的な形

英語で未来のことを表す場合、主に以下の2つが代表的な形です。

1. **will + 動詞の原形**  
2. **be going to + 動詞の原形**

どちらも「～するつもりだ」「～する予定だ」という未来を表す意味を持ちますが、使い方やニュアンスにわずかな違いがあります。

---

## 2. will + 動詞の原形

### 2-1. パターン
- **主語 + will + 動詞の原形**

### 2-2. 用法
1. **即時の決定や予測**  
   その場で思いついたことや突然の決定を表すときによく使われます。  
   例：  
   - “I forgot my umbrella. I will go and get it.”  
     （傘を忘れた。取ってくるよ。）  
2. **予測**  
   起こるかどうか確実ではないけれど、「～だろう」と予測するときにも用いられます。  
   例：  
   - “It will probably rain tomorrow.”  
     （明日はたぶん雨が降るだろう。）

---

## 3. be going to + 動詞の原形

### 3-1. パターン
- **主語 + be + going to + 動詞の原形**

### 3-2. 用法
1. **計画や準備をすでにしている未来**  
   すでにそのつもりでいることや、前もって決まっている予定を表します。  
   例：  
   - “I am going to visit my grandparents next month.”  
     （来月、祖父母を訪問するつもりです。）  
2. **強い根拠に基づいた予測**  
   「今の状況から見て、こうなりそうだ」というとき、be going to を使うとより確実な感じを与えます。  
   例：  
   - “Look at those dark clouds! It’s going to rain soon.”  
     （あの黒い雲を見て！ すぐに雨が降りそうだよ。）

---

## 4. 例文の比較

それでは、2つの表現の違いを例文で比較してみましょう。

1. **will**  
   - “I think I will buy a new phone.”  
     （新しいスマートフォンを買おうかな。／買うことを今決めたニュアンス。）  

2. **be going to**  
   - “I am going to buy a new phone next week.”  
     （来週、新しいスマートフォンを買うつもりです。／前からそう決めているニュアンス。）

---

## 5. その他の未来表現

英語では、will や be going to 以外にも以下のような形で未来を表すことがあります。

1. **現在進行形 (be + 動詞のing)**  
   - 近い未来の予定や確定しているスケジュールを表すときに使われます。  
   - 例：  
     - “I am meeting Tom at the station tomorrow.”  
       （明日、駅でトムに会う予定です。）

2. **現在形 (動詞の原形)＋時を表す副詞節（主に時刻表など確定スケジュール）**  
   - 交通機関の時刻や行事のスケジュールなど、確定した動きを指す場合に用いられます。  
   - 例：  
     - “The train leaves at 9 a.m. tomorrow.”  
       （電車は明日の午前9時に出発します。）

---

## 6. まとめ

- **will + 動詞の原形**  
  思いつき・予測・即時の決定を表す。  
- **be going to + 動詞の原形**  
  事前に計画された未来や確実性の高い予測を表す。  
- 他に **現在進行形** や **現在形** で未来の予定や確定スケジュールを表す表現もある。  

未来表現は、文脈や話し手がどう未来を捉えているかによって使い分けることがポイントです。

---

### 例文
- “She is going to go abroad next month.”  
  （彼女は来月、海外へ行く予定です。）  
  → 既に計画されているニュアンスを強調。",I will try as hard as I can.,私はできるだけ一生懸命やっているつもりだ。,1,2023-08-20 23:44:45 +0900,2025-01-26 18:55:41 +0900
66,A1.3,前置詞+動詞-ing,前置詞の後の動詞には~ingを,"以下の解説は、前置詞に動詞を続ける場合に「動名詞（～ing形）」を使うルールについて、より詳しくわかりやすく説明したものです。

---

## 解説：前置詞＋動詞-ing（動名詞）

英語の文法では、多くの前置詞の後に直接「動詞の原形」を置くことはできません。前置詞の後に動作や状態を表す言葉を続けたいときは、動名詞（動詞を -ing 形にしたもの）を使う必要があります。以下の点を押さえておきましょう。

1. **「前置詞 + 名詞」の考え方**  
   前置詞はもともと名詞や代名詞を伴って、時間（in, at, on など）や場所（in, at, to など）、状態・状況（about, with など）の意味を補足します。  
   例:  
   - I am interested in this book. (私はこの本に興味があります。)  
   - They talked about the plan. (彼らはその計画について話しました。)  

2. **動名詞とは？**  
   「動名詞（gerund）」は、動詞の -ing 形が名詞と同じようなはたらきをするものです。つまり、「動作を名詞のように扱う」役割を持っています。  
   例:  
   - Playing tennis is fun. (テニスをすることは楽しい。)  
     → ""play"" を ""playing"" にして名詞として扱っている。

3. **前置詞の後は動名詞を置く**  
   前置詞の後は、名詞または名詞相当語句（代名詞や動名詞など）が必要です。動作そのものを表したい場合は動名詞を使うことで、前置詞の目的語にすることができます。  
   例:  
   - I am good at playing tennis.  
     (私はテニスをすることが得意です。)  
     → ""at"" の後に動名詞 ""playing"" を置いて、テニスをする行為を表す。  

4. **よく使われる前置詞 + 動名詞のパターン**  
   - be interested in ～ing (～することに興味がある)  
   - look forward to ～ing (～するのを楽しみにしている)  
   - insist on ～ing (～することを主張する)  
   - think about ～ing (～することを考える)  
   - be used to ～ing (～することに慣れている)  
   - be good at ～ing (～するのが得意である)  
   - worry about ～ing (～することを心配する)  

5. **注意点：to が前置詞になる場合**  
   「to」は不定詞のマーカー (to + 動詞の原形) として使われることが多いですが、前置詞として「～へ」「～に向かって」「～に対して」の意味で使われることもあります。具体的には “look forward to ～ing” や “be used to ～ing” など、前置詞としての to の後にも動名詞を置きます。ここで間違えて不定詞（to + 動詞の原形）にしないように注意しましょう。  
   例:  
   - I am looking forward to meeting you. (あなたに会うのを楽しみにしています。)  
   - I am used to driving on the left. (私は左側通行で運転することに慣れています。)  

---

### ポイントまとめ
- 前置詞の直後には名詞または名詞相当語句を置くのが基本。  
- 動作を表す語を置きたいときは、動名詞（～ing 形）を使う。  
- 「to」が前置詞として機能する場合にも、後ろは動名詞になる。  

このルールを覚えておくと、英語で表現を広げるときに役立ちます。ぜひ実際の文章を書いたり読んだりするときに、意識して使ってみてください。",He is poor at listening to a person's story.,彼は人の話を聞くのが苦手である。,1,2023-08-20 23:44:45 +0900,2025-01-26 18:57:21 +0900
6,A1.1,現在時制 (be動詞),be＋~ingで「～している」,"以下では、現在進行形（Present Continuous / Present Progressive）として、be動詞（am, is, are）の現在形＋動詞の -ing 形について、できるだけ詳しく解説します。

---

## 1. 形の作り方

現在進行形は以下の形で作ります:

> **主語 (Subject) + be動詞の現在形 (am, is, are) + 動詞の -ing 形**

### 例文

- I am studying English now.  
  (私は今、英語を勉強しています)  
- He is swimming at the moment.  
  (彼は今泳いでいます)

---

## 2. 意味・使い方

### (1) 今まさに行われている動作を表す
現在進行形は、**話しているこの瞬間に行われている動作**を表します。

- She is cooking dinner now.  
  (彼女は今夕食を作っています)

### (2) 一時的・短期間の動作や状態を表す
「いつも」ではなく、期限付き・途中経過の状態を示すときにも使います。

- I am staying at my friend's house this week.  
  (私は今週、友人の家に滞在しています)

### (3) 近い未来の予定を表す場合もある
日常会話などで、**確定している近い未来の予定**を表すときにも使われます。

- I am leaving for Tokyo tomorrow.  
  (明日、東京に出発します)

---

## 3. 否定文と疑問文

### 否定文
be動詞のあとに「not」を入れます。

> **主語 + be動詞 + not + 動詞の -ing 形**

- I am not watching TV now.  
  (私は今テレビを見ていません)

### 疑問文
be動詞を文頭に出します。

> **be動詞 + 主語 + 動詞の -ing 形 … ?**

- Are you watching TV now?  
  (あなたは今テレビを見ているのですか？)

こちらの答え方は、Yes/Noで答えやすいです。

- Yes, I am. / No, I’m not.

---

## 4. よくある間違いに注意
- **「一般動詞の現在形」と混同する**  
  現在進行形は「今している動作」や「すぐに起こる予定」など、一時的で進行中の状態を表します。一方、一般動詞の現在形は「習慣」「真理・普遍の事実」など、継続的・反復的な意味を表します。

  例:  
  - I study English every day. (習慣 → 一般動詞の現在形)  
  - I am studying English now. (今している → 現在進行形)

- **be動詞を忘れない**  
  現在進行形では、**必ず be動詞 (am, is, are) とセット**で使われます。例えば、I studying... のように **be動詞が抜けてしまうミス**に気をつけましょう。

---

## 5. まとめ

- **形**: be動詞（am, is, are）＋動詞の -ing 形  
- **主な用法**  
  1. 今まさに行われている動作  
  2. 一時的・短期間の動作・状態  
  3. 近い未来の予定  
- **否定文**: be動詞＋ not ＋動詞の -ing 形  
- **疑問文**: be動詞を文頭に出して、主語＋動詞の -ing 形で続ける

現在進行形を理解することで、英語で「今していること」や「目前に控えた予定」をスムーズに表現できるようになります。上記のポイントを押さえて、ぜひ練習してみてください。",He is swimming in the river.,彼は川で泳いでいます。,1,2023-08-20 23:44:45 +0900,2025-01-26 18:51:25 +0900
58,A1.3,another+名詞,「別の」を表すanother,"以下では、**「another + 名詞」** の使い方について、もともとの説明をより詳しく解説します。

---

## 1. 「another」の成り立ちと基本的な意味

- **another** は、もともと **an + other** が合体した単語です。  
  - 「an」は不定冠詞（1つの～）を表し、「other」は「他のもの」という意味を表します。  
  - つまり **another** は「もう1つの」「別の」というニュアンスを含んでいます。

---

## 2. 後ろに来る名詞の形に注意

- **another** の後ろには、**可算名詞の単数形** が続くのが基本です。  
  例:  
  - another book (もう1冊の本)  
  - another day (もう1日)  
  - another idea (もう1つのアイデア)  

- 上記のように、**「1つ追加」「もう1つ」** という意味合いが強いため、後ろに単数形を置くのが通常の使い方です。

---

## 3. 応用表現：「another + 数字 + 複数名詞」

- ときどき以下のように **「another + 数字 + 複数名詞」** という形も見かけます。  
  - 例: another two weeks (さらに2週間)  
  - この場合は「もう○○」という数量をまとめて1つのかたまりとして捉えており、結果的に複数名詞と一緒に使われています。

---

## 4. 「other」との違い

- **another** が「もう1つの」「追加の1つ」を表すのに対し、**other** は「他の～」「それ以外の～」という幅広い意味を表します。  
  - **other** の後ろには、**可算名詞の複数形** や **不可算名詞** が来る場合が多いです。  
  - 例: other books (他の本), other information (他の情報)

---

## 5. 例文での確認

1. Could you give me another cup of tea?  
   - （お茶をもう1杯いただけますか？）  
   - → ここでは可算名詞の単数形「cup」が続いている

2. I need another idea for this project.  
   - （このプロジェクトには、もう1つアイデアが必要です。）  
   - → 「idea」は可算名詞の単数形

3. We need another three volunteers.  
   - （私たちはさらに3人のボランティアが必要です。）  
   - → 「another + 数字 + 複数名詞」のパターン。トータルで「3人分」を1つのまとまりとして追加するイメージ

---

## 6. まとめ

- **another** は **an + other** が合わさった言葉で、「追加の1つ」「もう1つ」という意味合いを持ちます。  
- 基本的には **単数形の可算名詞** を伴いますが、**「another + 数字 + 複数名詞」** の形で「さらに○○」という数量をまとめて表せる場合もあります。  
- **other** と混同しないように、後ろに来る名詞の形（単数形か複数形か、不加算名詞か）に注意しましょう。",That is another matter.,それは別問題だ。,1,2023-08-20 23:44:45 +0900,2025-01-26 18:56:36 +0900
45,A1.2-A1.3,現在進行形,be動詞（現在形）+~ing,"以下の解説は、現在進行形（Present Continuous Tense）の使い方や特徴をより詳しくまとめたものです。参考にしてみてください。

---

## 現在進行形とは

現在進行形は、「今まさに～しているところだ」という動作や状況を表すときに使われる時制です。具体的には**「be動詞（am / are / is）+ 動詞の-ing形」**で構成されます。

> 例：  
> He is running around the park now.  
> （彼は今、公園の周りを走っている。）

---

## 形の作り方

1. **主語（I / you / he / she / it / we / they など）**  
2. **be動詞の現在形（am, are, is）**  
3. **動詞の-ing形（running, playing, studying など）**

> 例：  
> - I am studying. （私は勉強しています。）  
> - We are playing soccer. （私たちはサッカーをしています。）  
> - She is reading a book. （彼女は本を読んでいます。）

---

## 時制が変わる場合

### 過去進行形

「過去のある時点で、動作が進行中だった」ことを表すときには、be動詞を過去形の**was**や**were**に変えます。動詞の-ing形はそのままです。

> 例：  
> - He was running around the park yesterday at 5 p.m.  
>   （彼は昨日の午後5時、公園の周りを走っていました。）  

### 未来進行形

「これから先のある時点で、動作が進行中であるだろう」という場合は、will be + 動詞の-ing形を使います。

> 例：  
> - I will be studying at this time tomorrow.  
>   （私は明日の今ごろ、勉強をしているでしょう。）  

---

## 現在形との違い

- **現在形（Present Simple）**：「普段の習慣や事実」を表す。  
  例：He runs around the park every morning. （彼は毎朝、公園の周りを走ります。）
- **現在進行形（Present Continuous）**：「今まさに進行している動作」を表す。  
  例：He is running around the park now. （彼は今、公園の周りを走っています。）

同じ動詞「run」を使っても、時制によって意味合いが変わるので注意しましょう。

---

## よくある間違いに注意

1. **be動詞を忘れる**  
   - 誤：He running around the park now.  
   - 正：He is running around the park now.
2. **-ing形のスペルミス**  
   - run → running（nを2つにする）  
   - write → writing（eを落とす）  
   - swim → swimming（mを2つにする）  

これらのスペルルールにも気をつけながら作文すると、より正確な文章を作ることができます。

---

## まとめ

- **現在進行形は「今～している」動作や状態を表す**。  
- **構成：be動詞（am / are / is）+ 動詞の-ing形**。  
- **時制の変化ではbe動詞だけを変化させ、動詞の-ing形は変わらない**。  
- **習慣・事実を表す場合は現在形、今進行中の動作を表す場合は現在進行形**と使い分ける。

現在進行形を正しく使いこなすことで、英語で「今していること」をより正確に伝えられます！",Trains are running on schedule.,列車はダイヤどおりに動いている。,1,2023-08-20 23:44:45 +0900,2025-01-26 18:55:18 +0900
3,A1.1,肯定命令文 (一般動詞),動詞の原形から始める命令文,"以下では、一般動詞を用いた肯定命令文のポイントを、できるだけ詳しく整理してみましょう。

---

## 命令文とは

命令文（Imperative sentence）とは、「～しなさい」「～してください」「～して！」といった指示や命令を伝える文のことです。主語となる “You” をあえて省略するのが特徴で、文頭に動詞の原形を置いて表現します。

---

## 肯定命令文の作り方

1. **動詞の原形を文頭に置く**  
   ・主語 “You” は通常省略して書きません。  
   ・“Open the door.”（ドアを開けて）  
   ・“Turn off the light.”（電気を消して）  
   ・“Take this medicine.”（この薬を飲みなさい）

2. **「Please」を使って丁寧に表現**  
   命令文は命令的な響きを持ちやすいので、丁寧な依頼にしたい場合は “Please” を加えます。以下の2通りの位置に入れられます。  
   - 文頭に置く場合: “Please open the door.”  
   - 文末に置く場合: “Open the door, please.”  
   いずれも意味合いは「どうぞ～してください」と丁寧な響きになります。

---

## 命令文を使う際の注意

- **強い命令や勧誘として聞こえることもある**  
  “You” が省略されているぶん、直接的な言い方になりやすいです。状況によっては失礼に受け取られないよう、トーンや文脈に注意する必要があります。  
- **「Do + 動詞の原形」での強調**  
  命令文を強調したい場合、動詞の前に “Do” を加えることがあります。  
  例: “Do come in.”（どうぞ入ってください）  
  これは相手に対して強く勧めたり、丁寧さを強調したりするときに使われます。

---

## 例文

- “Read this book.”（この本を読みなさい）  
- “Please wash the dishes.”（お皿を洗ってください）  
- “Wash the dishes, please.”（お皿を洗ってください）  
- “Do help yourself.”（どうぞご自由にお取りください）  
- “Come here.”（ここに来て）

---

以上が、一般動詞を用いた肯定命令文の基本的な使い方とポイントです。命令文は直接的な表現であることに注意しながら、丁寧さを加えたいときに “Please” や “Do” を上手に使えるようになると、コミュニケーションがより円滑になります。",Clean your room.,自分の部屋を掃除しなさい。,1,2023-08-20 23:44:45 +0900,2025-01-26 18:51:16 +0900
